age,gender,subscription_type,watch_hours,last_login_days,region,device,monthly_fee,churned,payment_method,number_of_profiles,avg_watch_time_per_day,favorite_genre
57,Male,Premium,0.97,32,South America,Mobile,17.99,1,Gift Card,2,0.03,Comedy
55,Other,Standard,21.58,48,North America,Mobile,13.99,0,Credit Card,5,0.44,Romance
35,Other,Standard,22.59,16,Europe,Tablet,13.99,0,Credit Card,2,1.33,Comedy
22,Female,Standard,9.69,35,Asia,TV,13.99,1,Crypto,4,0.27,Documentary
34,Male,Premium,12.82,45,North America,Mobile,17.99,1,PayPal,2,0.28,Romance
19,Male,Standard,4.34,1,Asia,Tablet,13.99,0,PayPal,1,2.17,Sci-Fi
25,Female,Premium,15.95,15,South America,Laptop,17.99,0,Credit Card,1,1.0,Action
49,Other,Premium,2.05,14,North America,Tablet,17.99,0,Debit Card,5,0.14,Romance
55,Other,Premium,3.86,25,Europe,Tablet,17.99,1,PayPal,3,0.15,Action
36,Other,Basic,1.68,10,Africa,TV,8.99,1,PayPal,4,0.15,Action
27,Other,Premium,46.88,56,Oceania,TV,17.99,0,Crypto,3,0.82,Drama
49,Male,Standard,4.22,50,Oceania,Desktop,13.99,1,Gift Card,2,0.08,Comedy
54,Female,Basic,26.88,44,South America,Desktop,8.99,0,Gift Card,3,0.6,Drama
31,Female,Standard,2.23,39,North America,Mobile,13.99,1,Debit Card,5,0.06,Drama
31,Male,Premium,14.15,24,South America,Desktop,17.99,0,PayPal,5,0.57,Drama
42,Female,Basic,49.49,39,Europe,Mobile,8.99,0,Credit Card,5,1.24,Horror
30,Male,Premium,8.79,21,Europe,Tablet,17.99,0,Crypto,4,0.4,Comedy
58,Male,Standard,14.57,22,North America,Mobile,13.99,0,Debit Card,2,0.63,Romance
63,Other,Standard,25.73,11,Africa,TV,13.99,0,PayPal,1,2.14,Comedy
60,Male,Standard,3.01,30,Asia,Desktop,13.99,1,Gift Card,3,0.1,Documentary
66,Male,Basic,12.05,33,South America,Tablet,8.99,1,PayPal,3,0.35,Drama
51,Female,Premium,3.7,37,South America,Mobile,17.99,1,Credit Card,2,0.1,Horror
63,Male,Premium,5.84,20,Oceania,Mobile,17.99,0,Credit Card,1,0.28,Documentary
31,Male,Basic,48.35,11,Oceania,Desktop,8.99,0,Debit Card,5,4.03,Comedy
55,Other,Standard,2.89,37,North America,Desktop,13.99,1,Debit Card,4,0.08,Action
38,Male,Premium,29.84,56,South America,Desktop,17.99,0,Credit Card,4,0.52,Drama
65,Other,Standard,19.33,31,North America,Desktop,13.99,0,Credit Card,1,0.6,Comedy
43,Female,Premium,2.5,33,Europe,TV,17.99,1,Credit Card,3,0.07,Action
63,Male,Premium,6.97,31,North America,Tablet,17.99,1,Crypto,1,0.22,Romance
64,Female,Standard,3.66,6,Africa,Mobile,13.99,0,PayPal,1,0.52,Romance
58,Female,Basic,30.85,46,North America,Mobile,8.99,0,Debit Card,5,0.66,Action
31,Male,Standard,1.77,34,Europe,TV,13.99,1,PayPal,3,0.05,Sci-Fi
62,Other,Standard,16.65,41,North America,Tablet,13.99,1,Debit Card,3,0.4,Romance
35,Male,Standard,25.08,2,Oceania,TV,13.99,0,Crypto,5,8.36,Action
34,Other,Standard,23.2,18,Asia,Tablet,13.99,0,Debit Card,1,1.22,Comedy
65,Other,Premium,37.82,31,Oceania,Tablet,17.99,0,Gift Card,3,1.18,Sci-Fi
68,Male,Standard,28.44,55,Europe,Laptop,13.99,0,Crypto,3,0.51,Romance
46,Other,Standard,13.38,3,South America,Laptop,13.99,0,Credit Card,2,3.35,Romance
62,Female,Standard,14.8,40,South America,Mobile,13.99,1,Crypto,5,0.36,Drama
63,Other,Premium,3.39,57,South America,Mobile,17.99,1,PayPal,4,0.06,Sci-Fi
62,Female,Premium,13.15,11,Oceania,Desktop,17.99,0,Debit Card,1,1.1,Comedy
41,Male,Basic,15.26,21,South America,Desktop,8.99,0,Debit Card,5,0.69,Drama
27,Other,Premium,79.17,12,South America,Tablet,17.99,0,Debit Card,2,6.09,Drama
60,Female,Basic,9.13,43,North America,Laptop,8.99,1,Debit Card,1,0.21,Documentary
60,Male,Premium,3.29,20,Asia,Mobile,17.99,1,Debit Card,2,0.16,Drama
58,Female,Standard,9.52,51,Europe,Laptop,13.99,1,PayPal,1,0.18,Sci-Fi
18,Male,Standard,3.56,23,Oceania,Tablet,13.99,0,Debit Card,4,0.15,Horror
48,Other,Premium,11.1,41,Africa,Mobile,17.99,1,Gift Card,5,0.26,Documentary
26,Other,Standard,23.13,27,Oceania,Mobile,13.99,0,Debit Card,2,0.83,Documentary
21,Male,Premium,9.91,27,Asia,Desktop,17.99,0,Debit Card,2,0.35,Sci-Fi
46,Other,Basic,6.22,36,Asia,Laptop,8.99,1,Credit Card,2,0.17,Horror
62,Female,Premium,0.45,20,Europe,Tablet,17.99,0,Debit Card,5,0.02,Sci-Fi
35,Female,Standard,17.53,38,Oceania,Laptop,13.99,1,Credit Card,1,0.45,Action
61,Female,Standard,4.52,21,Europe,Tablet,13.99,1,Crypto,2,0.21,Drama
37,Male,Basic,9.69,24,Asia,Mobile,8.99,0,Credit Card,4,0.39,Horror
46,Female,Standard,5.78,4,Asia,Laptop,13.99,0,Credit Card,2,1.16,Sci-Fi
41,Female,Premium,18.87,9,Europe,TV,17.99,0,Gift Card,3,1.89,Documentary
21,Female,Premium,4.89,3,Oceania,Desktop,17.99,0,Debit Card,4,1.22,Sci-Fi
55,Female,Premium,1.66,54,Oceania,TV,17.99,1,PayPal,4,0.03,Drama
64,Female,Premium,4.42,17,South America,Laptop,17.99,1,Crypto,3,0.25,Horror
36,Other,Premium,13.38,22,North America,Mobile,17.99,0,Gift Card,4,0.58,Documentary
67,Female,Premium,9.87,6,Europe,TV,17.99,0,PayPal,3,1.41,Action
23,Female,Premium,23.6,56,South America,TV,17.99,0,PayPal,4,0.41,Sci-Fi
19,Male,Basic,3.89,33,North America,Mobile,8.99,1,Credit Card,1,0.11,Romance
20,Other,Premium,3.4,33,Africa,Tablet,17.99,1,Crypto,5,0.1,Drama
50,Female,Standard,3.58,54,Europe,Tablet,13.99,1,Credit Card,4,0.07,Romance
33,Other,Premium,31.11,39,South America,Mobile,17.99,0,Crypto,4,0.78,Comedy
31,Other,Premium,2.81,39,Europe,Desktop,17.99,1,Credit Card,5,0.07,Horror
20,Male,Standard,9.87,29,Africa,Desktop,13.99,0,PayPal,3,0.33,Documentary
18,Female,Basic,35.52,40,South America,Tablet,8.99,0,Crypto,3,0.87,Action
31,Male,Premium,4.6,1,South America,Desktop,17.99,0,Gift Card,1,2.3,Sci-Fi
47,Other,Premium,14.24,37,Africa,Tablet,17.99,1,Gift Card,2,0.37,Documentary
49,Female,Basic,2.9,46,Asia,Mobile,8.99,1,Debit Card,2,0.06,Horror
30,Female,Basic,24.74,17,Oceania,Laptop,8.99,0,Credit Card,5,1.37,Comedy
22,Other,Basic,2.93,27,Asia,TV,8.99,1,Gift Card,2,0.1,Sci-Fi
61,Other,Standard,5.98,1,North America,Tablet,13.99,0,Gift Card,5,2.99,Romance
59,Other,Premium,24.59,49,North America,Desktop,17.99,0,Crypto,3,0.49,Romance
42,Male,Premium,18.17,2,South America,Laptop,17.99,0,Crypto,4,6.06,Sci-Fi
21,Female,Basic,13.97,14,North America,Laptop,8.99,0,Credit Card,3,0.93,Romance
35,Male,Basic,4.58,42,South America,Tablet,8.99,1,Credit Card,4,0.11,Romance
32,Other,Basic,17.18,22,Africa,TV,8.99,0,Crypto,4,0.75,Romance
65,Female,Premium,4.89,6,Asia,TV,17.99,0,Gift Card,1,0.7,Documentary
59,Other,Standard,6.77,22,Oceania,Tablet,13.99,0,Debit Card,1,0.29,Sci-Fi
70,Other,Basic,1.28,52,Asia,Mobile,8.99,1,Credit Card,5,0.02,Action
63,Male,Premium,8.54,51,North America,Tablet,17.99,0,Credit Card,5,0.16,Documentary
29,Other,Basic,17.58,2,Europe,Desktop,8.99,0,PayPal,1,5.86,Action
30,Other,Basic,9.28,44,North America,Tablet,8.99,1,PayPal,4,0.21,Action
52,Other,Basic,6.18,41,South America,Tablet,8.99,1,Gift Card,3,0.15,Comedy
49,Other,Standard,5.88,40,North America,Mobile,13.99,1,Crypto,2,0.14,Action
33,Male,Standard,2.86,30,Europe,Tablet,13.99,1,Gift Card,5,0.09,Drama
22,Female,Basic,3.71,28,Europe,TV,8.99,1,Crypto,1,0.13,Horror
29,Male,Basic,1.7,43,South America,Mobile,8.99,1,Debit Card,5,0.04,Horror
67,Female,Standard,1.02,20,Europe,Laptop,13.99,1,Gift Card,1,0.05,Sci-Fi
53,Female,Premium,1.36,35,South America,Mobile,17.99,1,Gift Card,2,0.04,Romance
40,Male,Premium,12.26,3,North America,Mobile,17.99,0,Debit Card,5,3.06,Romance
56,Other,Premium,1.43,16,Europe,Laptop,17.99,1,Debit Card,2,0.08,Action
35,Female,Basic,26.9,49,South America,Desktop,8.99,0,Gift Card,2,0.54,Drama
54,Male,Basic,3.13,16,Oceania,TV,8.99,1,Credit Card,5,0.18,Drama
19,Other,Basic,3.72,11,Asia,Desktop,8.99,1,Crypto,5,0.31,Documentary
28,Male,Premium,16.17,46,Africa,Laptop,17.99,1,Crypto,4,0.34,Horror
19,Other,Basic,5.18,43,Europe,Tablet,8.99,1,PayPal,4,0.12,Horror
34,Male,Basic,1.89,59,Asia,Tablet,8.99,1,Credit Card,5,0.03,Action
19,Male,Premium,8.03,1,Asia,TV,17.99,0,Gift Card,3,4.01,Drama
45,Other,Basic,3.4,27,North America,Laptop,8.99,1,Crypto,3,0.12,Sci-Fi
50,Other,Basic,0.11,1,South America,Tablet,8.99,1,Gift Card,2,0.06,Sci-Fi
47,Female,Standard,40.12,55,Africa,Desktop,13.99,0,PayPal,1,0.72,Action
40,Female,Standard,32.88,36,South America,Desktop,13.99,0,Crypto,4,0.89,Sci-Fi
41,Female,Standard,6.26,16,Oceania,Tablet,13.99,0,Crypto,4,0.37,Action
48,Other,Premium,16.78,2,Europe,Mobile,17.99,0,PayPal,1,5.59,Drama
67,Other,Standard,3.29,25,North America,Tablet,13.99,1,Crypto,1,0.13,Documentary
59,Female,Basic,20.11,40,South America,Desktop,8.99,1,PayPal,2,0.49,Sci-Fi
60,Female,Standard,19.36,45,South America,Desktop,13.99,1,Debit Card,2,0.42,Drama
33,Male,Basic,2.27,20,South America,Desktop,8.99,1,Debit Card,3,0.11,Romance
24,Female,Basic,2.42,56,Europe,Tablet,8.99,1,Crypto,3,0.04,Comedy
23,Other,Basic,10.85,13,North America,Mobile,8.99,0,PayPal,3,0.78,Romance
34,Male,Premium,9.59,28,Europe,Mobile,17.99,0,PayPal,4,0.33,Action
30,Male,Premium,7.24,40,Asia,TV,17.99,0,Debit Card,5,0.18,Documentary
69,Male,Standard,7.85,43,Europe,TV,13.99,1,Gift Card,5,0.18,Action
70,Female,Basic,6.8,6,North America,Mobile,8.99,0,Debit Card,4,0.97,Action
42,Male,Premium,0.88,33,Oceania,Laptop,17.99,1,Credit Card,1,0.03,Comedy
34,Male,Premium,12.48,53,Asia,Tablet,17.99,1,Gift Card,2,0.23,Comedy
51,Female,Premium,2.04,6,South America,TV,17.99,0,Debit Card,2,0.29,Drama
27,Other,Premium,4.57,24,Africa,Laptop,17.99,1,Gift Card,4,0.18,Documentary
19,Male,Standard,19.23,20,Oceania,Laptop,13.99,0,Debit Card,3,0.92,Romance
18,Other,Standard,16.81,56,Oceania,Tablet,13.99,1,Credit Card,2,0.29,Drama
23,Other,Premium,8.17,38,Europe,Desktop,17.99,1,PayPal,3,0.21,Documentary
23,Male,Basic,7.09,32,Europe,TV,8.99,1,Credit Card,2,0.21,Romance
50,Female,Premium,7.92,58,Asia,Desktop,17.99,1,Gift Card,4,0.13,Drama
54,Other,Standard,10.1,40,Oceania,TV,13.99,0,PayPal,5,0.25,Horror
68,Female,Basic,9.07,32,Africa,TV,8.99,1,Crypto,3,0.27,Romance
70,Other,Basic,2.24,50,Europe,Laptop,8.99,1,PayPal,5,0.04,Documentary
28,Male,Basic,11.25,52,Europe,Laptop,8.99,1,PayPal,5,0.21,Action
37,Male,Standard,31.31,53,South America,Mobile,13.99,0,Gift Card,1,0.58,Sci-Fi
51,Female,Premium,8.32,48,Europe,TV,17.99,1,Credit Card,2,0.17,Horror
18,Female,Premium,6.8,20,South America,Laptop,17.99,0,Credit Card,4,0.32,Drama
25,Female,Basic,18.4,55,Asia,TV,8.99,1,Debit Card,4,0.33,Drama
33,Other,Basic,44.72,7,Oceania,Tablet,8.99,0,PayPal,4,5.59,Horror
30,Female,Premium,3.61,43,Africa,Tablet,17.99,1,PayPal,4,0.08,Comedy
22,Male,Premium,10.68,60,Africa,Tablet,17.99,0,Debit Card,5,0.18,Action
40,Other,Basic,8.13,4,Oceania,Tablet,8.99,0,Gift Card,4,1.63,Romance
44,Male,Premium,38.18,49,Oceania,TV,17.99,0,Gift Card,3,0.76,Documentary
68,Male,Basic,1.83,0,Africa,Mobile,8.99,0,Debit Card,5,1.83,Horror
24,Female,Basic,47.9,21,Oceania,Laptop,8.99,0,Debit Card,4,2.18,Romance
34,Female,Standard,3.85,55,South America,Desktop,13.99,1,Gift Card,3,0.07,Romance
62,Female,Basic,1.55,17,South America,Tablet,8.99,1,Debit Card,2,0.09,Action
29,Female,Standard,7.46,58,Asia,Tablet,13.99,0,Credit Card,5,0.13,Drama
62,Female,Basic,6.67,47,North America,TV,8.99,1,Gift Card,2,0.14,Documentary
20,Female,Premium,4.57,17,South America,Laptop,17.99,1,Gift Card,1,0.25,Comedy
60,Female,Standard,1.03,2,Asia,Tablet,13.99,0,PayPal,5,0.34,Documentary
25,Other,Standard,6.71,2,Africa,Tablet,13.99,0,Credit Card,4,2.24,Sci-Fi
57,Male,Standard,12.95,27,North America,TV,13.99,0,Gift Card,4,0.46,Horror
47,Male,Standard,3.92,58,Africa,Tablet,13.99,1,PayPal,5,0.07,Horror
54,Male,Basic,24.44,28,North America,Laptop,8.99,0,Gift Card,4,0.84,Drama
34,Female,Standard,28.76,11,North America,Mobile,13.99,0,PayPal,2,2.4,Documentary
52,Male,Standard,1.35,7,Asia,TV,13.99,1,Crypto,1,0.17,Action
53,Other,Premium,0.25,50,Asia,Tablet,17.99,1,PayPal,1,0.0,Romance
68,Female,Premium,10.27,55,North America,Tablet,17.99,0,PayPal,4,0.18,Horror
68,Male,Premium,52.22,4,North America,Laptop,17.99,0,Gift Card,1,10.44,Romance
55,Other,Standard,7.61,37,North America,Mobile,13.99,1,PayPal,1,0.2,Comedy
31,Male,Basic,11.05,51,North America,TV,8.99,1,PayPal,1,0.21,Horror
30,Other,Standard,17.22,5,South America,Laptop,13.99,0,PayPal,1,2.87,Horror
56,Female,Premium,2.39,21,South America,Tablet,17.99,1,Debit Card,2,0.11,Comedy
44,Other,Basic,14.91,47,Europe,Desktop,8.99,1,Debit Card,5,0.31,Horror
64,Male,Standard,13.86,7,Africa,Laptop,13.99,0,Credit Card,3,1.73,Comedy
42,Other,Basic,2.6,50,South America,Laptop,8.99,1,Credit Card,4,0.05,Romance
18,Other,Premium,17.75,9,Oceania,Desktop,17.99,0,Gift Card,1,1.77,Comedy
56,Male,Basic,8.71,2,Asia,Laptop,8.99,0,Debit Card,3,2.9,Drama
23,Male,Premium,10.39,2,North America,TV,17.99,0,PayPal,4,3.46,Romance
23,Female,Basic,18.25,30,South America,Mobile,8.99,0,Crypto,5,0.59,Documentary
65,Other,Premium,20.05,21,Asia,Tablet,17.99,0,Crypto,5,0.91,Documentary
47,Other,Basic,0.39,48,South America,Tablet,8.99,1,PayPal,5,0.01,Romance
36,Female,Premium,50.98,23,Asia,Mobile,17.99,0,Gift Card,4,2.12,Comedy
54,Other,Premium,0.56,30,North America,Tablet,17.99,1,Debit Card,2,0.02,Horror
56,Other,Standard,1.95,28,North America,Mobile,13.99,1,Crypto,4,0.07,Romance
34,Male,Premium,70.61,38,Oceania,TV,17.99,0,Credit Card,5,1.81,Comedy
70,Other,Standard,8.7,46,Asia,Mobile,13.99,1,Credit Card,3,0.19,Action
51,Male,Basic,2.17,14,Africa,Tablet,8.99,1,Debit Card,3,0.14,Horror
57,Female,Basic,15.75,1,Europe,Desktop,8.99,0,Crypto,3,7.88,Horror
36,Female,Basic,3.58,14,North America,Tablet,8.99,1,PayPal,2,0.24,Romance
67,Other,Standard,14.58,18,Europe,Desktop,13.99,0,Credit Card,2,0.77,Sci-Fi
66,Other,Standard,1.42,57,Europe,Laptop,13.99,1,Gift Card,3,0.02,Drama
42,Female,Basic,2.98,29,Asia,TV,8.99,1,Crypto,4,0.1,Comedy
34,Female,Standard,0.68,42,Africa,Desktop,13.99,1,Crypto,2,0.02,Comedy
49,Other,Standard,2.26,31,Europe,Laptop,13.99,1,PayPal,5,0.07,Comedy
66,Female,Basic,6.93,47,South America,Tablet,8.99,1,PayPal,3,0.14,Sci-Fi
24,Female,Premium,11.67,31,Oceania,Mobile,17.99,1,Crypto,3,0.36,Sci-Fi
49,Other,Premium,5.31,39,Europe,TV,17.99,1,Credit Card,1,0.13,Comedy
65,Other,Standard,1.83,37,Africa,Desktop,13.99,1,Credit Card,1,0.05,Comedy
52,Female,Standard,2.62,43,South America,Mobile,13.99,1,Gift Card,5,0.06,Documentary
61,Other,Premium,0.85,6,Europe,TV,17.99,1,Crypto,1,0.12,Horror
50,Female,Standard,5.02,47,Africa,Mobile,13.99,1,Crypto,3,0.1,Horror
56,Other,Premium,19.81,25,Asia,Tablet,17.99,0,Credit Card,4,0.76,Sci-Fi
36,Other,Premium,18.47,28,Asia,Tablet,17.99,0,Credit Card,2,0.64,Horror
40,Female,Standard,22.52,8,Africa,Laptop,13.99,0,PayPal,5,2.5,Comedy
23,Female,Premium,11.54,28,Europe,Laptop,17.99,0,Gift Card,5,0.4,Sci-Fi
49,Female,Basic,38.43,6,Oceania,Tablet,8.99,0,PayPal,3,5.49,Drama
68,Female,Standard,2.7,35,Asia,TV,13.99,1,Debit Card,1,0.08,Documentary
52,Other,Standard,1.79,38,Africa,Mobile,13.99,1,Credit Card,1,0.05,Drama
37,Male,Standard,13.86,46,South America,Laptop,13.99,1,Gift Card,3,0.29,Documentary
33,Female,Basic,0.14,37,Europe,TV,8.99,1,PayPal,5,0.0,Sci-Fi
26,Other,Premium,19.48,35,Oceania,Laptop,17.99,0,PayPal,5,0.54,Horror
37,Male,Basic,4.84,25,Africa,Laptop,8.99,1,PayPal,5,0.19,Action
36,Other,Premium,8.7,45,South America,Mobile,17.99,0,PayPal,4,0.19,Drama
61,Male,Premium,19.19,27,South America,Mobile,17.99,0,PayPal,2,0.69,Horror
43,Male,Basic,0.53,22,Europe,TV,8.99,1,PayPal,1,0.02,Romance
62,Male,Basic,7.85,53,Europe,Mobile,8.99,1,PayPal,2,0.15,Romance
70,Other,Premium,42.5,46,Europe,Laptop,17.99,0,Credit Card,2,0.9,Drama
34,Male,Standard,6.33,49,Europe,Laptop,13.99,0,Debit Card,4,0.13,Action
38,Female,Basic,33.5,56,Asia,Laptop,8.99,0,PayPal,2,0.59,Action
67,Female,Basic,2.55,48,Oceania,Laptop,8.99,1,Gift Card,2,0.05,Sci-Fi
39,Female,Premium,47.79,12,North America,TV,17.99,0,Gift Card,1,3.68,Comedy
22,Other,Basic,26.28,48,Europe,TV,8.99,0,Crypto,3,0.54,Sci-Fi
67,Male,Premium,1.04,17,Europe,Mobile,17.99,1,Gift Card,2,0.06,Romance
42,Female,Standard,9.91,14,Africa,Desktop,13.99,0,Crypto,1,0.66,Comedy
32,Other,Premium,16.39,27,Europe,Desktop,17.99,0,Gift Card,5,0.59,Horror
36,Other,Standard,32.78,51,Asia,Laptop,13.99,0,Debit Card,5,0.63,Documentary
35,Male,Premium,1.95,52,Africa,Tablet,17.99,1,Credit Card,5,0.04,Drama
49,Other,Standard,5.02,26,South America,Tablet,13.99,0,Credit Card,4,0.19,Documentary
41,Female,Basic,36.94,6,Africa,Tablet,8.99,0,Credit Card,4,5.28,Drama
48,Female,Basic,1.3,2,South America,Mobile,8.99,1,Crypto,4,0.43,Drama
34,Male,Premium,0.33,7,Asia,Tablet,17.99,1,Gift Card,2,0.04,Horror
28,Other,Premium,5.03,59,Oceania,TV,17.99,1,Crypto,1,0.08,Drama
61,Female,Basic,1.21,31,Europe,Tablet,8.99,1,Crypto,3,0.04,Drama
23,Other,Premium,3.51,16,Asia,Desktop,17.99,0,Credit Card,5,0.21,Drama
30,Female,Premium,3.55,45,South America,Desktop,17.99,1,Gift Card,3,0.08,Romance
40,Female,Basic,7.02,44,Africa,Tablet,8.99,1,Gift Card,4,0.16,Horror
18,Male,Basic,15.17,28,South America,Mobile,8.99,0,PayPal,3,0.52,Documentary
47,Male,Standard,17.12,22,Europe,Desktop,13.99,0,Credit Card,1,0.74,Documentary
61,Female,Basic,12.93,55,Oceania,Tablet,8.99,1,Debit Card,4,0.23,Sci-Fi
50,Male,Standard,7.88,43,Europe,Tablet,13.99,1,Crypto,1,0.18,Horror
42,Other,Basic,5.55,47,Europe,Tablet,8.99,1,Gift Card,2,0.12,Drama
60,Male,Basic,4.61,8,North America,Mobile,8.99,1,PayPal,3,0.51,Sci-Fi
46,Male,Basic,19.74,20,Asia,Mobile,8.99,0,Debit Card,1,0.94,Horror
49,Other,Premium,19.67,54,Europe,Mobile,17.99,0,Credit Card,5,0.36,Documentary
63,Other,Premium,0.3,12,Asia,Laptop,17.99,1,Credit Card,2,0.02,Drama
41,Male,Basic,7.73,31,Asia,Tablet,8.99,1,Gift Card,4,0.24,Documentary
63,Male,Basic,1.03,3,North America,Tablet,8.99,1,Credit Card,5,0.26,Documentary
33,Male,Standard,9.93,51,South America,Tablet,13.99,0,Debit Card,4,0.19,Romance
51,Male,Standard,2.56,53,Oceania,Desktop,13.99,1,PayPal,2,0.05,Romance
59,Female,Standard,2.28,38,Africa,Desktop,13.99,1,PayPal,3,0.06,Drama
44,Male,Standard,1.17,51,South America,Tablet,13.99,1,Credit Card,3,0.02,Romance
22,Female,Premium,21.84,1,Oceania,Mobile,17.99,0,Credit Card,1,10.92,Horror
25,Female,Premium,10.53,33,Oceania,Tablet,17.99,1,Debit Card,3,0.31,Sci-Fi
26,Male,Standard,8.43,45,North America,Laptop,13.99,0,Debit Card,5,0.18,Comedy
51,Other,Premium,23.55,13,South America,TV,17.99,0,Credit Card,2,1.68,Drama
46,Female,Standard,41.63,46,South America,Tablet,13.99,0,Debit Card,4,0.89,Comedy
35,Male,Premium,1.11,13,South America,Mobile,17.99,0,Credit Card,4,0.08,Sci-Fi
50,Female,Premium,5.41,35,North America,Desktop,17.99,1,Gift Card,4,0.15,Action
54,Female,Standard,11.79,39,Asia,Laptop,13.99,1,Debit Card,2,0.29,Documentary
27,Male,Standard,0.39,32,South America,Laptop,13.99,1,Gift Card,4,0.01,Action
18,Male,Premium,0.97,9,Africa,Tablet,17.99,0,Debit Card,5,0.1,Sci-Fi
59,Female,Basic,4.16,25,Europe,Tablet,8.99,1,Crypto,2,0.16,Horror
37,Male,Premium,13.91,27,Asia,Laptop,17.99,0,PayPal,5,0.5,Comedy
44,Female,Premium,3.73,49,Oceania,TV,17.99,1,Credit Card,5,0.07,Drama
28,Male,Standard,10.91,16,North America,Tablet,13.99,0,Debit Card,4,0.64,Drama
23,Other,Premium,5.56,53,Europe,Laptop,17.99,1,Credit Card,1,0.1,Romance
58,Other,Premium,4.04,19,Asia,Mobile,17.99,0,Credit Card,4,0.2,Romance
23,Female,Standard,0.13,48,Europe,Laptop,13.99,1,Crypto,5,0.0,Sci-Fi
36,Female,Basic,20.03,16,Africa,Desktop,8.99,0,Debit Card,5,1.18,Comedy
37,Other,Basic,20.45,54,Asia,Desktop,8.99,0,Debit Card,4,0.37,Action
48,Other,Basic,4.91,1,North America,Mobile,8.99,1,PayPal,1,2.46,Action
23,Male,Standard,28.75,20,Asia,TV,13.99,0,Crypto,2,1.37,Horror
35,Other,Basic,10.43,46,Oceania,Mobile,8.99,1,Credit Card,4,0.22,Sci-Fi
52,Other,Premium,11.5,53,Europe,TV,17.99,1,Crypto,5,0.21,Documentary
50,Other,Standard,1.49,8,Asia,Laptop,13.99,0,Credit Card,4,0.17,Documentary
68,Male,Premium,17.56,29,Asia,Laptop,17.99,0,Debit Card,4,0.59,Sci-Fi
30,Other,Premium,15.15,55,South America,TV,17.99,1,Credit Card,3,0.27,Comedy
41,Other,Basic,18.51,8,Asia,Mobile,8.99,0,Credit Card,2,2.06,Drama
56,Other,Basic,16.89,38,Europe,TV,8.99,1,Debit Card,2,0.43,Horror
